Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
220 XIV,Deixar de reduzir veloc onde haja intensa movimentação de pedestres,35,2104503,99.94173042127909
182 IX,Parar na contramão de direção,35,2104503,99.94173042127909
206 II,Executar operação de retorno nos viadutos,34,2104537,99.94334506323223
205,Ultrapassar veículo em movimento que integre cortejo/desfile/formação militar,33,2104570,99.94491221571616
244 VI,"Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo",32,2104602,99.94643187873089
183,Parar sobre faixa de pedestres na mudança de sinal luminoso,29,2104689,99.95056346255218
220 VII,Deixar de reduzir veloc ao aproximar local sinaliz advert de obras/trabalhadores,29,2104689,99.95056346255218
181 XIV,Estacionar nas pontes,29,2104689,99.95056346255218
252 II,Dirigir o veículo transport volume à sua esquerda ou entre os braços e pernas,28,2104717,99.95189316769006
220 IV,Deixar de reduzir velocidade do veículo ao aproximar-se interseção ñ sinalizada,27,2104744,99.95317538335874
163 c/c 162 II,Entregar veículo a pessoa com CNH/PPD/ACC cassada,26,2104770,99.9544101095582
206 III,Executar operação de retorno passando por cima de ajardinamento,25,2104820,99.95678458301872
235,Conduzir animais nas partes externas do veículo,25,2104820,99.95678458301872
231 IV,Transitar c/ veíc e/ou carga c/ dimensões superiores est p/sinalização s/autoriz,24,2104868,99.9590640775408
220 III,Deixar de reduzir a velocidade do veículo ao aproximar-se da guia da calçada,24,2104868,99.9590640775408
206 II,Executar operação de retorno nos aclives ou declives,23,2104960,99.96343310870814
220 I,Deixar de reduzir a veloc qdo se aproximar de passeata/aglomeração/desfile/etc,23,2104960,99.96343310870814
181 III,Estacionar afastado da guia da calçada (meio-fio) a mais de 1m,23,2104960,99.96343310870814
206 II,Executar operação de retorno nas pontes,23,2104960,99.96343310870814
163 c/c 162 VII,Entregar veiculo a pessoa sem possuir curso especializados obrigatorios,22,2104982,99.96447787703076
231 II a,Transitar com veículo arrastando a carga que esteja transportando,21,2105003,99.96547515588419
174,"Participar como condutor exib/demonst perícia em manobra de veic, s/ permissão",20,2105043,99.9673747346526
229,Usar no veíc alarme/aparelho produz som perturbe sossego púb desac norma Contran,20,2105043,99.9673747346526
214 IV,Deixar de dar preferência a pedestre/veic ñ mot qdo iniciada travessia s/sinaliz,19,2105100,99.97008163439757
220 XIV,Deixar de reduzir a velocidade nas proximidades de escolas,19,2105100,99.97008163439757
249,Deixar de manter acesas à noite as luzes posição qdo o veículo estiver parado,19,2105100,99.97008163439757
181 XII,Estacionar na área de cruzamento de vias,18,2105172,99.97350087618071
181 VIII,Estacionar sobre ciclovia ou ciclofaixa,18,2105172,99.97350087618071
244 VIII c/c § 1º,Conduzir ciclo transportando carga incompatível,18,2105172,99.97350087618071
220 IX,Deixar de reduzir a velocidade quando houver má visibilidade,18,2105172,99.97350087618071
252 III,Dirigir o veículo com incapacidade física ou mental temporária,17,2105206,99.97511551813385
182-V,Parar na pista de rolamento das demais vias dotadas acostamento,17,2105206,99.97511551813385
189,Deixar de dar passagem a ambulância em serviço de urgência devid identificada,16,2105222,99.97587534964121
220 V,Deixar reduzir velocidade nas vias rurais cuja faixa domínio não esteja cercada,15,2105267,99.97801237575568
189,Deixar de dar passagem a veíc precedido de batedores devidamente identificados,15,2105267,99.97801237575568
