City,Violations_Count,Violations_Count(%),Acum
VASSOURAS,2419,0.05849320630062993,0.8335799365642502
NOVA SANTA RITA,2418,0.058469025562184036,0.834164626819872
BURITI DOS LOPES,2407,0.05820303743927914,0.8347466571942648
PERITORO,2387,0.057719422670361155,0.8353238514209684
TANQUINHO,2386,0.057695241931915255,0.8359008038402875
CORUMBA,2378,0.057501796024348066,0.836475821800531
TOLEDO,2375,0.05742925380901037,0.8370501143386211
PLANALTO,2356,0.05696981977853829,0.8376198125364065
ITAPEMIRIM,2353,0.05689727756320059,0.8381887853120386
ATALAIA,2332,0.056389482055836715,0.838752680132597
SANTA LUZIA,2332,0.056389482055836715,0.8393165749531554
CAMBUI,2328,0.05629275910205312,0.8398795025441759
PINDAMONHANGABA,2321,0.05612349393293182,0.8404407374835052
TRINDADE,2321,0.05612349393293182,0.8410019724228346
POCOES,2317,0.056026770979148224,0.841562240132626
ALTOS,2316,0.056002590240702324,0.842122266035033
AGUAS LINDAS DE GOIAS,2293,0.055446433256446645,0.8426767303675975
PARATI,2288,0.055325529564217144,0.8432299856632397
ITABIRITO,2276,0.05503536070286636,0.8437803392702684
BENEVIDES,2272,0.05493863774908277,0.8443297256477592
MORRETES,2271,0.054914457010636866,0.8448788702178656
AMELIA RODRIGUES,2265,0.054769372579961464,0.8454265639436652
CONCEICAO DO ALMEIDA,2258,0.054600107410840176,0.8459725650177736
PONTE ALTA,2255,0.05452756519550248,0.8465178406697287
MARECHAL FLORIANO,2231,0.0539472274728009,0.8470573129444567
CAMPOS NOVOS,2231,0.0539472274728009,0.8475967852191848
ALTO PARAISO,2206,0.053342709011653416,0.8481302123093013
ARAPONGAS,2195,0.053076720888748534,0.8486609795181888
JARAGUA,2192,0.05300417867341084,0.8491910213049229
RIACHAO DO BACAMARTE,2174,0.052568925381384655,0.8497167105587367
CAPAO ALTO,2162,0.05227875652003386,0.850239498123937
JUTI,2161,0.05225457578158796,0.8507620438817528
UNAI,2158,0.052182033566250265,0.8512838642174153
PORTO VITORIA,2147,0.05191604544334537,0.8518030246718488
SANTIAGO,2139,0.05172259953577818,0.8523202506672065
JACIARA,2137,0.051674238058886386,0.8528369930477954
CAMACAN,2122,0.051311526982197896,0.8533501083176174
BELEM DE SAO FRANCISCO,2114,0.05111808107463071,0.8538612891283637
MARACANAU,2113,0.05109390033618481,0.8543722281317255
CALDAS,2069,0.05002994784456525,0.8548725276101712
SAO MATEUS DO SUL,2057,0.04973977898321446,0.8553699254000033
